Country,ISO3,Region,CPI score 2020,Rank 2020,CPI score 2019,Rank 2019,CPI score 2016,Rank 2016,Employment_ratio-2016,Employment_ratio-2019,GDP_per_capita-2016,GDP_per_capita-2019,HDI_index-2016,HDI_index-2019,Women_in_parliament_(%)-2016,Women_in_parliament_(%)-2019
Uganda,UGA,SSA,27,142,28,137,25.0,151.0,69.36,69.04,2073.329,2181.248,0.529,0.544,33.489,34.858
Angola,AGO,SSA,27,142,26,146,18.0,164.0,71.983,72.157,7568.997,6653.908,0.578,0.581,36.818,30.0
Bangladesh,BGD,AP,26,146,26,146,26.0,145.0,54.134,56.521,3920.301,4753.726,0.606,0.632,20.0,20.63
Uzbekistan,UZB,ECA,26,146,25,153,21.0,156.0,61.49,61.21,6346.335,6998.705,0.705,0.72,16.4,16.4
Central African Republic,CAF,SSA,26,146,25,153,20.0,159.0,69.771,69.307,884.494,944.868,0.382,0.397,7.194,8.571
Iran,IRN,MENA,25,149,26,146,29.0,131.0,38.48,39.581,14205.209,14535.863,0.784,0.783,5.882,5.882
Guatemala,GTM,AME,25,149,26,146,28.0,136.0,60.341,60.817,8205.754,8637.555,0.653,0.663,13.924,19.375
Lebanon,LBN,MENA,25,149,28,137,28.0,136.0,43.965,44.085,16108.504,14717.35,0.741,0.744,3.125,4.688
Nigeria,NGA,SSA,25,149,26,146,28.0,136.0,49.436,48.623,5284.892,5135.5,0.526,0.539,5.769,4.113
Mozambique,MOZ,SSA,25,149,26,146,27.0,142.0,75.978,75.566,1273.783,1280.45,0.441,0.456,39.6,41.2
Cameroon,CMR,SSA,25,149,25,153,26.0,145.0,73.636,73.501,3524.445,3652.687,0.553,0.563,27.143,29.286
Madagascar,MDG,SSA,25,149,24,158,26.0,145.0,84.832,84.613,1565.867,1646.22,0.523,0.528,20.093,16.901
Tajikistan,TJK,ECA,25,149,25,153,25.0,151.0,37.107,37.391,2942.648,3379.749,0.653,0.668,20.0,20.0
Honduras,HND,AME,24,157,26,146,30.0,123.0,61.708,65.067,5395.614,5727.974,0.626,0.634,25.781,21.094
Zimbabwe,ZWE,SSA,24,157,24,158,22.0,154.0,78.749,78.982,2934.734,2835.949,0.558,0.571,35.143,34.571
Nicaragua,NIC,AME,22,159,22,161,26.0,145.0,63.775,61.864,5811.893,5407.105,0.657,0.66,45.652,44.565
Comoros,COM,SSA,21,160,25,153,24.0,153.0,41.015,41.405,2987.989,3081.384,0.547,0.554,3.03,6.061
Cambodia,KHM,AP,21,160,20,162,21.0,156.0,81.769,81.756,3733.955,4388.801,0.576,0.594,19.022,19.251
Chad,TCD,SSA,21,160,20,162,20.0,159.0,69.612,69.362,1687.053,1579.627,0.393,0.398,14.894,14.881
Eritrea,ERI,SSA,21,160,23,160,18.0,164.0,74.547,74.355,,,0.456,0.459,22.0,22.0
Iraq,IRQ,MENA,21,160,20,162,17.0,166.0,39.255,37.484,11542.264,10881.172,0.656,0.674,26.524,25.228
